product_name,price,rating,reviews,product_url,price_pkr,price_tier
RIDEN RD6030/W 60V 30A DC Voltage Step-down Stabilized Lab Power Supply Module Buck Adjustable Converter Battery Charging,79.73,4.96,53.0,https://www.banggood.com/RIDEN-RD6030-or-W-60V-30A-DC-Voltage-Step-down-Stabilized-Lab-Power-Supply-Module-Buck-Adjustable-Converter-Battery-Charging-p-2014727.html?cur_warehouse=CN&ID=6326874&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,22503.79,Premium
Geekcreit® AC 100-240V to DC 12V 5A 60W Switching Power Supply Module Driver Adapter LED Strip Light,5.41,4.94,3297.0,https://www.banggood.com/Geekcreit-AC-100-240V-to-DC-12V-5A-60W-Switching-Power-Supply-Module-Driver-Adapter-LED-Strip-Light-p-1441620.html?cur_warehouse=CN&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,1526.97,Budget
XY-SK60 XY-SK120 60W/120W 5A MPPT DC0-36V CC CV Power Supply Voltage Regulator WiFi RS485 Modbus Buck Boost Converter Solar Charging Module,9.42,4.81,43.0,https://www.banggood.com/XY-SK60-XY-SK120-60W-or-120W-5A-MPPT-DC0-36V-CC-CV-Power-Supply-Voltage-Regulator-WiFi-RS485-Modbus-Buck-Boost-Converter-Solar-Charging-Module-p-2018764.html?cur_warehouse=CN&ID=522661&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,2658.8,Budget
RIDEN® RD6018 RD6018W RD6024 RD6024W RD6030 Digital Switching Power Supply Case S800 Shell For Voltage Converter,27.86,4.86,65.0,https://www.banggood.com/RIDEN-RD6018-RD6018W-RD6024-RD6024W-RD6030-Digital-Switching-Power-Supply-Case-S800-Shell-For-Voltage-Converter-p-1995241.html?cur_warehouse=CN&ID=6323987&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,7863.48,Premium
RIDEN® 1500W AC110V/220V to DC 68V Regulated Switching Power Supply for RD6018 RD6024 RD6030,79.27,4.84,56.0,https://www.banggood.com/RIDEN-1500W-AC110V-or-220V-to-DC-68V-Regulated-Switching-Power-Supply-for-RD6018-RD6024-RD6030-p-1995203.html?cur_warehouse=CN&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,22373.96,Premium
RIDEN® RK6006/RK6006-BT 60V 6A 4 Digit Communication 360W Adjustable Digital DC to DC Step Down Voltage Bench Power Supply Buck Converter,24.34,4.97,112.0,https://www.banggood.com/RIDEN-RK6006-or-RK6006-BT-60V-6A-4-Digit-Communication-360W-Adjustable-Digital-DC-to-DC-Step-Down-Voltage-Bench-Power-Supply-Buck-Converter-p-1992304.html?cur_warehouse=CN&ID=6323591&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,6869.96,Premium
22A/1400W Buck DC Adjustable Voltage Regulator Voltage Current Module Constant Voltage Constant Current Step-down Module,5.38,4.8,20.0,https://www.banggood.com/22A-or-1400W-Buck-DC-Adjustable-Voltage-Regulator-Voltage-Current-Module-Constant-Voltage-Constant-Current-Step-down-Module-p-2011847.html?cur_warehouse=CN&ID=6326255&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,1518.5,Budget
Sinilink XY12522 DC Buck Power Supply 12-140V Input 0-125V Output 2000W Power MPPT Solar Charging 1.8 Inch LCD High Precision 0-22A Current,18.18,4.88,8.0,https://www.banggood.com/Sinilink-XY12522-DC-Buck-Power-Supply-12-140V-Input-0-125V-Output-2000W-Power-MPPT-Solar-Charging-1_8-Inch-LCD-High-Precision-0-22A-Current-p-2023977.html?cur_warehouse=CN&ID=6292599&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,5131.3,Mid-range
RIDEN® RD6024 DC Step Down Voltage Power Supply WiFi 24A Buck Converter 12V/36V/48V/60V Adjustable Battery Charger 1000W,81.28,4.93,164.0,https://www.banggood.com/RIDEN-RD6024-DC-Step-Down-Voltage-Power-Supply-WiFi-24A-Buck-Converter-12V-or-36V-or-48V-or-60V-Adjustable-Battery-Charger-1000W-p-1993543.html?cur_warehouse=CN&ID=6317604&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,22941.28,Premium
DC-DC Buck Boost Converter 0-36V 5A/6A 60W/120W Power Supply Module Adjustable Voltage Regulator Regulated Laboratory Power Supply,19.52,5.0,8.0,https://www.banggood.com/DC-DC-Buck-Boost-Converter-0-36V-5A-or-6A-60W-or-120W-Power-Supply-Module-Adjustable-Voltage-Regulator-Regulated-Laboratory-Power-Supply-p-2018945.html?cur_warehouse=CN&ID=522661&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,5509.52,Premium
RIDEN® RD6018 RD6018W USB WiFi DC to DC Voltage Step Down Power Supply Module Buck Converter Voltmeter Multimeter 60V 18A 1080W,48.76,4.95,410.0,https://www.banggood.com/RIDEN-RD6018-RD6018W-USB-WiFi-DC-to-DC-Voltage-Step-Down-Power-Supply-Module-Buck-Converter-Voltmeter-Multimeter-60V-18A-1080W-p-1993557.html?cur_warehouse=CN&ID=6296642&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,13762.51,Premium
Sinilink XY3607F DC Buck-Boost Adjustable Power Supply Module 36V 7A 252W Constant Voltage Current Solar Charging Module LCD Display,11.6,5.0,4.0,https://www.banggood.com/Sinilink-XY3607F-DC-Buck-Boost-Adjustable-Power-Supply-Module-36V-7A-252W-Constant-Voltage-Current-Solar-Charging-Module-LCD-Display-p-2024421.html?cur_warehouse=CN&ID=6292599&rmmds=CategoryElectronicsPop&trace_id=65331763867817385,3274.1,Mid-range
